bsi,ndvi
-0.2221,0.60554
-0.23431,0.53614
-0.14835,0.50008
-0.20679,0.58713
-0.00261,0.2964
-0.26317,0.64053
-0.23292,0.59918
0.01543,0.2673
-0.22504,0.58044
-0.02988,0.34127
-0.00959,0.18178
-0.20447,0.59517
-0.18437,0.57726
-0.18138,0.52977
-0.12133,0.45783
-0.13443,0.53498
-0.35211,0.70182
-0.22755,0.59567
0.04547,0.18199
-0.05228,0.28252
-0.23587,0.61878
0.09352,0.09549
0.06624,-0.00492
-0.31819,0.68532
-0.21115,0.53523
-0.2503,0.64826
-0.25979,0.58059
-0.12455,0.46322
-0.27733,0.58096
-0.13847,0.53752
-0.18959,0.53757
-0.23116,0.5789
-0.02714,0.33036
0.05656,0.3519
-0.0546,0.41285
-0.25312,0.62828
-0.19231,0.58706
0.09305,0.11154
-0.24868,0.59706
-0.05059,0.3433
-0.27665,0.62938
-0.19996,0.57729
-0.12944,0.50486
-0.2554,0.62759
-0.1786,0.54909
-0.10832,0.50611
-0.26612,0.64858
0.1196,0.12424
-0.27359,0.66038
0.01613,0.37606
-0.12077,0.49156
-0.11816,0.55516
0.08471,0.12984
-0.18165,0.5649
0.04866,0.12692
-0.17608,0.55641
-0.28024,0.63733
-0.03466,0.23953
-0.14809,0.5743
-0.24284,0.62743
-0.21446,0.60762
-0.30022,0.63849
0.13458,0.09322
0.02432,0.14245
-0.0724,0.38251
-0.21142,0.61237
-0.30995,0.66924
-0.23991,0.63551
-0.26936,0.58177
-0.2182,0.607
-0.0602,0.41458
-0.26293,0.60807
-0.24155,0.6385
0.03274,0.04189
-0.21239,0.59451
-0.09403,0.56287
-0.21812,0.55736
-0.21011,0.61023
-0.01401,0.31447
-0.00299,0.29454
-0.27224,0.61385
-0.23547,0.61489
0.0919,0.11339
-0.30038,0.64293
-0.29027,0.6543
-0.2282,0.60402
-0.27481,0.65001
0.07637,0.12845
-0.21017,0.60594
-0.07197,0.48507
-0.19948,0.60465
-0.2031,0.62336
-0.17745,0.55769
-0.07021,0.48804
-0.2131,0.52979
-0.16796,0.52206
-0.32779,0.67449
-0.02526,0.34297
-0.20385,0.56637
-0.18565,0.52392
-0.1783,0.5578
0.01657,0.26083
-0.19064,0.58523
-0.20629,0.60841
0.01801,0.22682
-0.0164,0.29531
-0.31949,0.68463
-0.12149,0.51447
-0.26878,0.57712
-0.23412,0.62644
-0.11425,0.49781
-0.26129,0.63859
-0.27376,0.61138
-0.10163,0.42617
-0.27067,0.64845
-0.18142,0.57436
-0.18948,0.5727
0.09113,0.12339
-0.27153,0.59933
-0.14847,0.48838
-0.02041,0.34954
-0.14994,0.53872
-0.29799,0.66446
-0.19951,0.57586
-0.16935,0.52471
-0.10552,0.39616
-0.07027,0.50949
-0.22224,0.62657
-0.16816,0.55252
-0.02328,0.07566
-0.27079,0.61892
-0.27853,0.6358
-0.18659,0.56345
-0.28037,0.65892
-0.15956,0.53106
-0.15352,0.51417
0.08225,0.13401
-0.29386,0.67737
-0.15187,0.53391
-0.33636,0.59962
0.10647,0.10101
-0.28613,0.65721
-0.32563,0.62557
-0.28748,0.59988
-0.27294,0.6236
-0.24498,0.5675
-0.26811,0.57548
-0.06848,0.34124
-0.26954,0.58568
-0.24074,0.56344
-0.20671,0.60344
-0.27075,0.57112
-0.25081,0.59618
-0.26695,0.56686
-0.27733,0.62811
-0.2864,0.61131
-0.24532,0.61611
-0.01899,0.41262
-0.27556,0.66073
0.0623,0.17995
-0.03528,0.33781
-0.25016,0.63528
-0.0562,0.38362
-0.29624,0.66925
0.11762,0.10419
-0.31864,0.68343
-0.17534,0.54925
-0.22208,0.52091
-0.0962,0.45874
-0.13852,0.46977
-0.00669,0.32039
-0.07044,0.46095
-0.00822,0.36966
-0.11517,0.45683
-0.18309,0.431
-0.33122,0.64426
-0.11463,0.42312
-0.22815,0.56957
-0.32377,0.59272
-0.27307,0.66758
-0.20809,0.58282
-0.32313,0.69016
-0.27103,0.63916
-0.15263,0.5609
0.11008,0.10617
-0.24945,0.59706
0.06261,0.03203
-0.25566,0.61067
-0.24048,0.63745
-0.21608,0.62703
-0.03093,0.32319
-0.1186,0.46227
-0.0013,0.15336
-0.13199,0.5232
-0.1749,0.56188
-0.10311,0.50903
-0.16109,0.53802
0.01382,0.25489
-0.02588,0.27983
-0.223,0.59466
-0.17871,0.53062
-0.20648,0.60176
-0.16975,0.54115
0.01508,0.33523
-0.11442,0.51621
-0.25413,0.56728
0.07804,0.14647
-0.09796,0.49926
-0.11556,0.45591
-0.20264,0.55212
-0.34058,0.6389
-0.30735,0.64006
-0.10735,0.45105
-0.27392,0.61057
-0.27533,0.59021
-0.19836,0.60043
0.10179,0.10373
-0.06898,0.40795
0.01265,0.09198
-0.27416,0.62049
-0.15693,0.53576
-0.27731,0.6579
-0.21239,0.6178
-0.26346,0.63457
0.11223,0.15953
-0.18557,0.57343
-0.23363,0.64488
-0.22193,0.54257
0.08048,0.03724
-0.18845,0.55404
-0.18535,0.5628
0.0111,0.35094
-0.27435,0.61208
-0.03767,0.36197
-0.04631,0.35682
-0.16513,0.53096
-0.28146,0.66341
-0.05563,0.39162
-0.1645,0.54215
-0.22259,0.60422
-0.26551,0.62466
-0.28166,0.66426
-0.00512,0.03049
-0.28787,0.59382
-0.07149,0.35232
-0.17124,0.52609
-0.19265,0.55729
-0.01779,0.39068
-0.25189,0.64266
-0.23005,0.55773
-0.22282,0.61658
-0.21314,0.60663
0.01892,0.17629
-0.21881,0.6224
-0.01497,0.27849
-0.16976,0.59256
-0.26502,0.65678
-0.27703,0.61229
-0.25747,0.65412
-0.07724,0.33383
-0.12962,0.5409
-0.01174,0.22957
-0.25245,0.63701
-0.16504,0.5452
0.07412,0.08728
-0.27808,0.64305
-0.18506,0.56641
-0.04854,0.35141
-0.23652,0.56286
0.00029,0.26985
-0.22015,0.60622
0.00124,0.33554
-0.01073,0.26144
-0.16147,0.56888
-0.2662,0.57668
-0.23829,0.60602
-0.07246,0.40896
-0.11829,0.46652
-0.29274,0.66644
-0.22506,0.597
-0.05279,0.29786
-0.31231,0.68256
0.01042,0.3229
-0.18282,0.55826
-0.32799,0.68271
-0.04655,0.48314
-0.16863,0.52743
-0.00695,0.14664
-0.21937,0.59226
-0.09851,0.41087
-0.27063,0.63924
-0.03943,0.3535
-0.16819,0.51711
-0.06529,0.41975
-0.28483,0.65621
-0.1426,0.50166
-0.19584,0.59275
-0.00354,0.23777
-0.06593,0.41481
-0.3049,0.68146
-0.16903,0.57832
-0.12267,0.5162
-0.07614,0.38765
-0.19067,0.57521
-0.09662,0.49717
-0.26445,0.61808
0.00729,0.38813
